OCLC #,Title,Author,Language,Item type,Publication,Publisher,Year,Database,Notes,Added date
34403149,A private universe,Lindsay Crouse; Matthew H Schneps; Philip M Sadler; Private Universe Project.; Annenberg/CPB Math and Science Project.;,English,video_vhs,,"[Cambridge, MA : Private Universe Project, Harvard-Smithsonian Center for Astrophysics]",1989.0,,,2012-08-24 07:15
31697364,Project SPICA : a teacher resource to enhance astronomy education,Nadine Butcher Ball; Harold P Coyle; Irwin I Shapiro; Harvard-Smithsonian Center for Astrophysics.;,English,book,,"Dubuque, Iowa : Kendall/Hunt",1994.0,,,2012-08-24 07:15
49554406,The private universe project,Chantal L  A Fujiwara; Lisa Friedman; Nancy Finkelstein; Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Annenberg/CPB Project.;,English,video_vhs,,"S. Burlington, VT : Annenberg/CPB Math and Science Project",2002.0,,,2012-08-24 07:15
50135711,The next move : steps toward change in elementary math and science,"Rebecca B Corwin; Heather Hurley, teacher.; Flavia Steiner Viggiani; Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Annenberg/CPB Math and Science Project.;",English,video_vhs,,"South Burlington, VT : Annenberg/CPB Math and Science Project",1998.0,,,2012-08-24 07:15
43830536,The molecular universe,David Anthony Neufeld; Harvard-Smithsonian Center for Astrophysics.,English,video_vhs,,,,,,2012-08-24 07:15
24788667,Where the galaxies are,Boyd Estus; Margaret J Geller; Astronomical Society of the Pacific.;,English,video_vhs,,"[Washington, DC] : Smithsonian Institution",1991.0,,,2012-08-24 07:15
503473565,WIPL news.,Wolbach Image Processing Laboratory.,English,jrnl,,"[Cambridge, Mass. : Harvard-Smithsonian Center for Astrophysics]",,,,2012-08-24 07:15
42466611,Mathematics: what's the big idea? : an eight-part workshop series for K-8 teachers of mathematics.,Annenberg/CPB Project.;,English,video_vhs,,"Cambridge, Mass : Harvard Smithsonian Center for Astrophysics at Harvard Univ. and Mass. Corp. for Educational Telecommunications",1999.0,,,2012-08-24 07:15
32078720,Annie and the stars of many colors : a portrait of astronomer Annie Jump Cannon,Barbara L Welther; Smithsonian Astrophysical Observatory.; Harvard-Smithsonian Center for Astrophysics.;,English,video_vhs,,"Cambridge, MA : Harvard-Smithsonian Center for Astrophysics",1993.0,,,2012-08-24 07:15
39186261,Under construction,Matthew Schneps; Michael Filisky; Ara Sahiner; Annenberg/CPB Math and Science Project.; Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Annenberg/CPB Math and Science Collection.;,English,video_vhs,,"South Burlington, VT : Annenberg/CPB Math and Science Collection",1997.0,,,2012-08-24 07:15
43426623,Astrobiology : what is it and what can be done about it?,Andrew H Knoll; Harvard-Smithsonian Center for Astrophysics.,English,video_vhs,,,,,,2012-08-24 07:15
42078872,Chondrules and their origins,Elbert A King; Lunar and Planetary Institute.; Harvard-Smithsonian Center for Astrophysics.; United States. National Aeronautics and Space Administration.;,English,book_digital,,Houston [Tex.] : Lunar and Planetary Institute,1983.0,,,2012-08-24 07:15
39186071,Lessons from thin air,Matthew Schneps; Annenberg/CPB Math and Science Project.; Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Annenberg/CPB Math and Science Collection.;,English,video_vhs,,"South Burlington, VT : Annenberg/CPB Math and Science Collection",1997.0,,,2012-08-24 07:15
741251177,Minds of our own,Annenberg/CPB Math and Science Collection.; Harvard University.; Harvard-Smithsonian Center for Astrophysics.;,English,video,,"[Boston, MA] : President and Fellows of Harvard College",1997.0,,,2012-08-24 07:15
32326017,A Private universe : misconceptions that block learning,Schneps Mat.; Pyramid Film & Video.; Harvard-Smithsonian Center for Astrophysics.; Corporation for Public Broadcasting.;,English,video_vhs,,[S.l. : Corp. for Public Broadcasting],1994.0,,,2012-08-24 07:14
496286755,Earth's changing climate,Daniel P Schrag; Christopher B Field; Lonnie G Thompson; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
